x,y,LOCAL_DATE,UTC_YEAR,STATION_PRESSURE,PRECIP_AMOUNT_FLAG,WEATHER_FRE_DESC,WIND_SPEED,VISIBILITY_FLAG,LOCAL_MONTH,LOCAL_HOUR,TEMP_FLAG,LOCAL_DAY,STATION_PRESSURE_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,UTC_DATE,WIND_DIRECTION,STATION_NAME,LOCAL_YEAR,UTC_MONTH,HUMIDEX_FLAG,WINDCHILL,PROVINCE_CODE,WEATHER_ENG_DESC,WIND_SPEED_FLAG,TEMP,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,WIND_DIRECTION_FLAG,UTC_DAY,HUMIDEX,PRECIP_AMOUNT,ID,WINDCHILL_FLAG,VISIBILITY,CLIMATE_IDENTIFIER
-113.57944444444445,53.31,2015-01-03 21:00:00,2015,94.99,,ND,12,,1,21,,3,,-31.6,,2015-01-04T04:00:00,30,EDMONTON INTL A,2015,1,,-37,AB,NA,,-27.7,70,,,4,,,3012216.2015.1.3.21,,24.1,3012216
-113.57944444444445,53.31,2015-01-03 22:00:00,2015,95.0,,ND,9,,1,22,,3,,-32.2,,2015-01-04T05:00:00,30,EDMONTON INTL A,2015,1,,-37,AB,NA,,-28.5,71,,,4,,,3012216.2015.1.3.22,,24.1,3012216
-113.57944444444445,53.31,2015-01-03 23:00:00,2015,95.02,,Généralement dégagé,3,,1,23,,3,,-33.5,,2015-01-04T06:00:00,32,EDMONTON INTL A,2015,1,,-34,AB,Mainly Clear,,-30.4,75,,,4,,,3012216.2015.1.3.23,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 00:00:00,2015,95.01,,ND,5,,1,0,,4,,-36.5,,2015-01-04T07:00:00,29,EDMONTON INTL A,2015,1,,-39,AB,NA,,-33.3,74,,,4,,,3012216.2015.1.4.0,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 01:00:00,2015,94.99,,ND,5,,1,1,,4,,-34.9,,2015-01-04T08:00:00,27,EDMONTON INTL A,2015,1,,-38,AB,NA,,-31.8,75,,,4,,,3012216.2015.1.4.1,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 02:00:00,2015,94.97,,Dégagé,14,,1,2,,4,,-35.1,,2015-01-04T09:00:00,23,EDMONTON INTL A,2015,1,,-43,AB,Clear,,-31.6,72,,,4,,,3012216.2015.1.4.2,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 03:00:00,2015,95.01,,ND,8,,1,3,,4,,-39.5,,2015-01-04T10:00:00,23,EDMONTON INTL A,2015,1,,-45,AB,NA,,-35.8,70,,,4,,,3012216.2015.1.4.3,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 04:00:00,2015,95.0,,ND,8,,1,4,,4,,-38.2,,2015-01-04T11:00:00,23,EDMONTON INTL A,2015,1,,-43,AB,NA,,-34.5,70,,,4,,,3012216.2015.1.4.4,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 05:00:00,2015,94.97,,Dégagé,8,,1,5,,4,,-36.6,,2015-01-04T12:00:00,22,EDMONTON INTL A,2015,1,,-41,AB,Clear,,-33.0,71,,,4,,,3012216.2015.1.4.5,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 06:00:00,2015,94.98,,ND,6,,1,6,,4,,-36.2,,2015-01-04T13:00:00,24,EDMONTON INTL A,2015,1,,-40,AB,NA,,-32.6,71,,,4,,,3012216.2015.1.4.6,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 07:00:00,2015,94.92,,Cristaux de glace,8,,1,7,,4,,-36.2,,2015-01-04T14:00:00,22,EDMONTON INTL A,2015,1,,-41,AB,Ice Crystals,,-32.4,70,,,4,,,3012216.2015.1.4.7,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 08:00:00,2015,94.92,,Généralement dégagé,8,,1,8,,4,,-35.7,,2015-01-04T15:00:00,23,EDMONTON INTL A,2015,1,,-40,AB,Mainly Clear,,-31.9,70,,,4,,,3012216.2015.1.4.8,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 09:00:00,2015,94.94,,ND,11,,1,9,,4,,-37.0,,2015-01-04T16:00:00,24,EDMONTON INTL A,2015,1,,-43,AB,NA,,-33.1,69,,,4,,,3012216.2015.1.4.9,,24.1,3012216
-113.57944444444445,53.31,2015-01-04 10:00:00,2015,94.92,,ND,10,,1,10,,4,,-34.4,,2015-01-04T17:00:00,25,EDMONTON INTL A,2015,1,,-40,AB,NA,,-30.6,70,,,4,,,3012216.2015.1.4.10,,24.1,3012216
